batch_id,input_symbol,input_company_name,dependency_name,dependency_type,upstream_or_downstream,related_industry,related_commodity_or_macro_factor,importance,expected_sign,expected_lag_days_min,expected_lag_days_max,mechanism,evidence_type,source,confidence,provenance_type
nifty_500_shariah,3MINDIA,3M India Ltd.,"raw materials, energy and logistics",raw_material,upstream,industrial suppliers and logistics,,medium,negative,0,120,Input and freight costs influence margins.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,3MINDIA,3M India Ltd.,skilled labor and services,labour,upstream,labor and service providers,,medium,negative,0,120,Labor and service availability affects execution and cost.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,3MINDIA,3M India Ltd.,industry end-market demand,customer_industry,downstream,industry end-market demand,,high,positive,0,180,End-market demand and utilisation drive revenue.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,3MINDIA,3M India Ltd.,channel or institutional customers,customer_industry,downstream,channel or institutional customers,,medium,positive,0,180,"Distribution, tender or institutional demand affects volumes.",inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,"petrochemical feedstocks, solvents and energy",raw_material,upstream,petrochemicals and energy,,high,negative,0,90,Feedstock and energy inflation affects gross margins.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,environmental and product approvals,regulation,upstream,chemical regulators,,high,mixed,0,365,Approvals and environmental compliance shape operating continuity.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,industrial manufacturing,customer_industry,downstream,industrial manufacturing,,high,positive,0,120,Industrial production drives chemical demand.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,agriculture and regulated end-markets,customer_industry,downstream,agriculture and regulated end-markets,,medium,positive,0,180,Seasonal and regulated demand affects volumes and mix.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,"petrochemical feedstocks, solvents and energy",raw_material,upstream,petrochemicals and energy,,high,negative,0,90,Feedstock and energy inflation affects gross margins.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,environmental and product approvals,regulation,upstream,chemical regulators,,high,mixed,0,365,Approvals and environmental compliance shape operating continuity.,inferred_from_industry,"NSE classification, annual-report source inventory and sector value-chain mapping",0.6,inferred
