evidence_id,batch_id,input_symbol,input_company_name,claim_type,claim_summary,source_title,source_type,source_date,source_url_or_reference,page_or_section,verbatim_excerpt_short,confidence
3MINDIA-NSE-CLASSIFICATION,nifty_500_shariah,3MINDIA,3M India Ltd.,industry_classification,"NSE classifies 3MINDIA as macro=Diversified, sector=Diversified, industry=Diversified, basicIndustry=Diversified.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=3MINDIA,secInfo,,0.9
3MINDIA-NSE-FINANCIALS,nifty_500_shariah,3MINDIA,3M India Ltd.,financial_results,NSE returned 5 recent financial-result records for 3MINDIA.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=3MINDIA&marketApiType=equities&noOfRecords=5,financial results,,0.9
3MINDIA-ANNUAL-REPORT,nifty_500_shariah,3MINDIA,3M India Ltd.,annual_report,Latest annual report discovered for 3MINDIA: FY 2024-2025.,3MINDIA annual report,annual_report,04-AUG-2025 17:41:13,https://nsearchives.nseindia.com/annual_reports/AR_27263_3MINDIA_2024_2025_A_04082025174111.pdf,NSE annual report listing,,0.9
3MINDIA-CURATED-BUSINESS,nifty_500_shariah,3MINDIA,3M India Ltd.,business_model,"3M India Limited is an NSE-listed company classified by NSE as Diversified / Diversified / Diversified / Diversified. The profile maps the company into a midstream_or_downstream_operating_company value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","3MINDIA annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27263_3MINDIA_2024_2025_A_04082025174111.pdf,business review / management discussion / NSE secInfo,,0.68
3MINDIA-CURATED-DEPENDENCIES,nifty_500_shariah,3MINDIA,3M India Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",3MINDIA official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27263_3MINDIA_2024_2025_A_04082025174111.pdf,source inventory / risk factors / value-chain mapping,,0.62
ABFRL-NSE-CLASSIFICATION,nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,industry_classification,"NSE classifies ABFRL as macro=Consumer Discretionary, sector=Consumer Services, industry=Retailing, basicIndustry=Speciality Retail.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=ABFRL,secInfo,,0.9
ABFRL-NSE-FINANCIALS,nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,financial_results,NSE returned 5 recent financial-result records for ABFRL.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=ABFRL&marketApiType=equities&noOfRecords=5,financial results,,0.9
ABFRL-ANNUAL-REPORT,nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,annual_report,Latest annual report discovered for ABFRL: FY 2024-2025.,ABFRL annual report,annual_report,29-AUG-2025 19:30:27,https://nsearchives.nseindia.com/annual_reports/AR_27917_ABFRL_2024_2025_A_20739377_29082025193019.pdf,NSE annual report listing,,0.9
ABFRL-CURATED-BUSINESS,nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,business_model,"Aditya Birla Fashion and Retail Limited is an NSE-listed company classified by NSE as Consumer Discretionary / Consumer Services / Retailing / Speciality Retail. The profile maps the company into a midstream_chemical_manufacturer value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","ABFRL annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27917_ABFRL_2024_2025_A_20739377_29082025193019.pdf,business review / management discussion / NSE secInfo,,0.68
ABFRL-CURATED-DEPENDENCIES,nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",ABFRL official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27917_ABFRL_2024_2025_A_20739377_29082025193019.pdf,source inventory / risk factors / value-chain mapping,,0.62
ABLBL-NSE-CLASSIFICATION,nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,industry_classification,"NSE classifies ABLBL as macro=Consumer Discretionary, sector=Consumer Services, industry=Retailing, basicIndustry=Speciality Retail.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=ABLBL,secInfo,,0.9
ABLBL-NSE-FINANCIALS,nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,financial_results,NSE returned 0 recent financial-result records for ABLBL.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=ABLBL&marketApiType=equities&noOfRecords=5,financial results,,0.25
ABLBL-ANNUAL-REPORT,nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,annual_report,Latest annual report discovered for ABLBL: FY 2024-2025.,ABLBL annual report,annual_report,29-AUG-2025 17:21:53,https://nsearchives.nseindia.com/annual_reports/AR_27887_ABLBL_2024_2025_A_10625951_29082025172151.pdf,NSE annual report listing,,0.9
ABLBL-CURATED-BUSINESS,nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,business_model,"Aditya Birla Lifestyle Brands Limited is an NSE-listed company classified by NSE as Consumer Discretionary / Consumer Services / Retailing / Speciality Retail. The profile maps the company into a midstream_chemical_manufacturer value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","ABLBL annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27887_ABLBL_2024_2025_A_10625951_29082025172151.pdf,business review / management discussion / NSE secInfo,,0.68
ABLBL-CURATED-DEPENDENCIES,nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",ABLBL official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27887_ABLBL_2024_2025_A_10625951_29082025172151.pdf,source inventory / risk factors / value-chain mapping,,0.62
ACE-NSE-CLASSIFICATION,nifty_500_shariah,ACE,Action Construction Equipment Ltd.,industry_classification,"NSE classifies ACE as macro=Industrials, sector=Capital Goods, industry=Agricultural Commercial & Construction Vehicles, basicIndustry=Construction Vehicles.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=ACE,secInfo,,0.9
ACE-NSE-FINANCIALS,nifty_500_shariah,ACE,Action Construction Equipment Ltd.,financial_results,NSE returned 5 recent financial-result records for ACE.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=ACE&marketApiType=equities&noOfRecords=5,financial results,,0.9
ACE-ANNUAL-REPORT,nifty_500_shariah,ACE,Action Construction Equipment Ltd.,annual_report,Latest annual report discovered for ACE: FY 2024-2025.,ACE annual report,annual_report,05-AUG-2025 17:41:20,https://nsearchives.nseindia.com/annual_reports/AR_27285_ACE_2024_2025_A_05082025174117.pdf,NSE annual report listing,,0.9
ACE-CURATED-BUSINESS,nifty_500_shariah,ACE,Action Construction Equipment Ltd.,business_model,"Action Construction Equipment Limited is an NSE-listed company classified by NSE as Industrials / Capital Goods / Agricultural Commercial & Construction Vehicles / Construction Vehicles. The profile maps the company into a auto_oem_or_component_manufacturer value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","ACE annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27285_ACE_2024_2025_A_05082025174117.pdf,business review / management discussion / NSE secInfo,,0.68
ACE-CURATED-DEPENDENCIES,nifty_500_shariah,ACE,Action Construction Equipment Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",ACE official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27285_ACE_2024_2025_A_05082025174117.pdf,source inventory / risk factors / value-chain mapping,,0.62
ACUTAAS-NSE-CLASSIFICATION,nifty_500_shariah,ACUTAAS,Acutaas Chemicals Ltd.,industry_classification,"NSE classifies ACUTAAS as macro=Healthcare, sector=Healthcare, industry=Pharmaceuticals & Biotechnology, basicIndustry=Pharmaceuticals.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=ACUTAAS,secInfo,,0.9
ACUTAAS-NSE-FINANCIALS,nifty_500_shariah,ACUTAAS,Acutaas Chemicals Ltd.,financial_results,NSE returned 5 recent financial-result records for ACUTAAS.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=ACUTAAS&marketApiType=equities&noOfRecords=5,financial results,,0.9
ACUTAAS-ANNUAL-REPORT,nifty_500_shariah,ACUTAAS,Acutaas Chemicals Ltd.,annual_report,Latest annual report discovered for ACUTAAS: FY 2024-2025.,ACUTAAS annual report,annual_report,01-SEP-2025 19:43:43,https://nsearchives.nseindia.com/annual_reports/AR_28086_ACUTAAS_2024_2025_A_8262208_01092025194340.pdf,NSE annual report listing,,0.9
